date,temperature,humidity,luminosity
2023-12-07 15:55:47.646,20.5,39.2,222
2023-12-07 15:55:46.634,20.6,39.3,222
2023-12-07 15:55:45.634,20.6,39.3,222
2023-12-07 15:55:44.627,20.5,39.2,223
2023-12-07 15:55:43.623,20.5,39.2,222
2023-12-07 15:55:42.616,20.5,39.2,223
2023-12-07 15:55:41.612,20.5,39.2,223
2023-12-07 15:55:40.604,20.5,39.2,223
2023-12-07 15:55:39.601,20.5,39.2,223
2023-12-07 15:55:38.593,20.5,39.2,223
2023-12-07 15:55:37.589,20.5,39.2,223
2023-12-07 15:55:36.582,20.5,39.2,225
2023-12-07 15:55:35.579,20.5,39.2,226
2023-12-07 15:55:34.571,20.5,39.2,225
2023-12-07 15:55:33.567,20.5,39.2,225
2023-12-07 15:55:32.559,20.5,39.2,225
2023-12-07 15:55:31.556,20.5,39.2,223
2023-12-07 15:55:30.548,20.5,39.2,223
2023-12-07 15:55:29.544,20.5,39.2,223
2023-12-07 15:55:28.537,20.5,39.3,225
2023-12-07 15:55:27.537,20.5,39.3,223
2023-12-07 15:55:26.525,20.5,39.3,226
2023-12-07 15:55:25.526,20.5,39.3,225
2023-12-07 15:55:24.514,20.5,39.2,225
2023-12-07 15:55:23.514,20.5,39.2,225
2023-12-07 15:55:22.502,20.5,39.2,223
2023-12-07 15:55:21.503,20.5,39.2,225
2023-12-07 15:55:20.495,20.5,39.2,225
2023-12-07 15:55:19.491,20.5,39.2,225
2023-12-07 15:55:18.484,20.5,39.2,223
2023-12-07 15:55:17.480,20.5,39.2,223
2023-12-07 15:55:16.472,20.5,39.3,226
2023-12-07 15:55:15.469,20.5,39.3,225
2023-12-07 15:55:14.461,20.5,39.2,225
2023-12-07 15:55:13.457,20.5,39.2,226
2023-12-07 15:55:12.450,20.5,39.2,225
2023-12-07 15:55:11.446,20.5,39.2,225
2023-12-07 15:55:10.438,20.5,39.2,223
2023-12-07 15:55:09.435,20.5,39.2,223
2023-12-07 15:55:08.427,20.5,39.2,225
2023-12-07 15:55:07.423,20.5,39.2,225
2023-12-07 15:55:06.416,20.5,39.2,226
2023-12-07 15:55:05.412,20.5,39.2,225
2023-12-07 15:55:04.404,20.5,39.2,225
2023-12-07 15:55:03.405,20.5,39.2,225
2023-12-07 15:55:02.393,20.6,39.3,223
2023-12-07 15:55:01.394,20.6,39.3,223
