date,temperature,humidity,luminosity,pressure
2023-12-21 14:46:20.735,17.7,30.0,1728,1017.3
2023-12-21 14:46:18.692,17.7,30.0,1729,1017.3
2023-12-21 14:46:16.649,17.7,30.1,1730,1017.2
2023-12-21 14:46:14.606,17.7,30.0,1728,1017.3
2023-12-21 14:46:12.563,17.7,30.1,1730,1017.3
2023-12-21 14:46:10.520,17.7,30.2,1730,1017.3
2023-12-21 14:46:08.478,17.7,30.1,1728,1017.3
2023-12-21 14:46:06.434,17.6,30.1,1727,1017.2
2023-12-21 14:46:04.391,17.7,30.1,1724,1017.3
2023-12-21 14:46:02.349,17.7,30.1,1721,1017.3
2023-12-21 14:46:00.305,17.7,30.1,1721,1017.3
2023-12-21 14:45:58.263,17.7,30.2,1723,1017.3
2023-12-21 14:45:56.220,17.7,30.2,1728,1017.2
2023-12-21 14:45:54.177,17.7,30.2,1729,1017.2
2023-12-21 14:45:52.134,17.7,30.3,1730,1017.3
2023-12-21 14:45:50.091,17.7,30.4,1726,1017.3
2023-12-21 14:45:48.048,17.7,30.3,1725,1017.3
2023-12-21 14:45:46.005,17.7,30.5,1724,1017.2
2023-12-21 14:45:43.962,17.7,30.6,1723,1017.3
2023-12-21 14:45:41.919,17.7,30.6,1729,1017.2
2023-12-21 14:45:39.876,17.7,30.6,1732,1017.3
2023-12-21 14:45:37.833,17.7,30.7,1730,1017.2
2023-12-21 14:45:35.790,17.7,30.7,1728,1017.3
2023-12-21 14:45:33.746,17.7,30.7,1731,1017.3
2023-12-21 14:45:31.702,17.7,30.7,1730,1017.3
2023-12-21 14:45:29.658,17.7,30.6,1723,1017.3
2023-12-21 14:45:27.615,17.7,30.8,1726,1017.3
2023-12-21 14:45:25.572,17.7,30.5,1733,1017.2
2023-12-21 14:45:23.529,17.7,30.5,1731,1017.3
2023-12-21 14:45:21.485,17.7,30.5,1727,1017.3
2023-12-21 14:45:19.442,17.7,30.5,1723,1017.3
2023-12-21 14:45:17.399,17.7,30.5,1729,1017.3
2023-12-21 14:45:15.356,17.7,30.3,1729,1017.3
2023-12-21 14:45:13.313,17.7,30.0,1727,1017.3
2023-12-21 14:45:11.270,17.7,30.0,1725,1017.2
2023-12-21 14:45:09.226,17.7,30.0,1724,1017.2
2023-12-21 14:45:07.184,17.7,29.9,1726,1017.2
2023-12-21 14:45:05.141,17.7,30.1,1729,1017.2
2023-12-21 14:45:03.097,17.7,30.0,1730,1017.3
2023-12-21 14:45:01.055,17.7,30.0,1730,1017.2
2023-12-21 14:44:59.012,17.7,29.9,1729,1017.2
2023-12-21 14:44:56.969,17.7,29.9,1727,1017.3
2023-12-21 14:44:54.926,17.7,30.1,1727,1017.3
2023-12-21 14:44:52.883,17.7,30.1,1726,1017.2
2023-12-21 14:44:50.840,17.7,30.1,1725,1017.3
2023-12-21 14:44:48.797,17.7,30.1,1724,1017.2
2023-12-21 14:44:46.754,17.7,30.2,1720,1017.2
2023-12-21 14:44:44.711,17.7,30.2,1723,1017.3
2023-12-21 14:44:42.668,17.7,30.3,1725,1017.3
2023-12-21 14:44:40.625,17.7,30.3,1725,1017.3
2023-12-21 14:44:38.582,17.7,30.2,1722,1017.3
2023-12-21 14:44:36.538,17.7,30.3,1721,1017.3
2023-12-21 14:44:34.495,17.7,30.2,1719,1017.3
2023-12-21 14:44:32.452,17.7,30.3,1722,1017.3
2023-12-21 14:44:30.409,17.7,30.3,1745,1017.3
2023-12-21 14:44:28.366,17.7,30.4,1727,1017.3
2023-12-21 14:44:26.323,17.7,30.4,1727,1017.3
2023-12-21 14:44:24.280,17.7,30.4,1724,1017.3
2023-12-21 14:44:22.238,17.7,30.3,1729,1017.3
2023-12-21 14:44:20.194,17.7,30.3,1730,1017.3
2023-12-21 14:44:18.152,17.7,30.2,1727,1017.3
2023-12-21 14:44:16.108,17.7,30.2,1724,1017.3
2023-12-21 14:44:14.065,17.7,30.2,1727,1017.3
2023-12-21 14:44:12.022,17.7,30.2,1729,1017.2
2023-12-21 14:44:09.979,17.7,30.1,1724,1017.3
2023-12-21 14:44:07.935,17.7,30.2,1722,1017.3
2023-12-21 14:44:05.892,17.7,30.1,1723,1017.3
2023-12-21 14:44:03.848,17.7,30.2,1715,1017.3
2023-12-21 14:44:01.805,17.7,30.3,1710,1017.3
2023-12-21 14:43:59.762,17.8,30.3,1714,1017.3
2023-12-21 14:43:57.719,17.7,30.3,1759,1017.3
2023-12-21 14:43:55.676,17.7,30.3,1759,1017.3
2023-12-21 14:43:53.633,17.7,30.3,1755,1017.3
2023-12-21 14:43:51.590,17.7,30.3,1754,1017.3
2023-12-21 14:43:49.547,17.7,30.3,1758,1017.3
2023-12-21 14:43:47.504,17.7,30.2,1761,1017.3
2023-12-21 14:43:45.461,17.7,30.2,1761,1017.3
2023-12-21 14:43:43.418,17.7,30.3,1759,1017.3
2023-12-21 14:43:41.375,17.7,30.0,1758,1017.3
2023-12-21 14:43:39.332,17.7,30.0,1755,1017.3
2023-12-21 14:43:37.289,17.6,29.7,1752,1017.3
2023-12-21 14:43:35.246,17.6,29.8,1755,1017.3
2023-12-21 14:43:33.203,17.7,29.7,1758,1017.3
2023-12-21 14:43:31.160,17.7,29.6,1760,1017.3
2023-12-21 14:43:29.116,17.7,29.7,1750,1017.3
2023-12-21 14:43:27.073,17.7,29.7,1747,1017.3
2023-12-21 14:43:25.030,17.7,29.7,1739,1017.3
2023-12-21 14:43:22.987,17.7,29.9,1734,1017.3
2023-12-21 14:43:20.944,17.7,29.9,687,1017.3
2023-12-21 14:43:18.900,17.7,29.8,201,1017.3
2023-12-21 14:43:16.856,17.7,29.9,692,1017.3
2023-12-21 14:43:14.813,17.7,30.0,261,1017.3
2023-12-21 14:43:12.770,17.7,30.0,217,1017.3
2023-12-21 14:43:10.727,17.7,30.0,220,1017.3
2023-12-21 14:43:08.683,17.7,29.9,220,1017.3
2023-12-21 14:43:06.640,17.7,29.9,1048,1017.3
2023-12-21 14:43:04.597,17.7,30.0,1740,1017.3
2023-12-21 14:43:02.553,17.7,30.0,1743,1017.3
2023-12-21 14:43:00.510,17.7,30.1,1744,1017.3
2023-12-21 14:42:58.467,17.7,30.2,1745,1017.3
2023-12-21 14:42:56.424,17.7,30.1,1748,1017.3
2023-12-21 14:42:54.381,17.7,30.1,1746,1017.3
2023-12-21 14:42:52.338,17.7,30.0,1746,1017.3
2023-12-21 14:42:50.294,17.7,30.2,1756,1017.3
2023-12-21 14:42:48.252,17.7,30.1,1760,1017.3
2023-12-21 14:42:46.209,17.7,30.2,1759,1017.3
2023-12-21 14:42:44.165,17.7,30.3,1759,1017.3
2023-12-21 14:42:42.123,17.7,30.3,1758,1017.4
2023-12-21 14:42:40.079,17.7,30.4,1762,1017.3
2023-12-21 14:42:38.037,17.7,30.5,1766,1017.4
2023-12-21 14:42:35.993,17.7,30.5,1764,1017.4
2023-12-21 14:42:33.950,17.7,30.6,1762,1017.3
2023-12-21 14:42:31.908,17.7,30.8,1759,1017.3
2023-12-21 14:42:29.865,17.7,30.8,1758,1017.3
2023-12-21 14:42:27.822,17.7,30.8,1760,1017.3
2023-12-21 14:42:25.779,17.7,31.0,1765,1017.3
2023-12-21 14:42:23.736,17.7,31.1,1764,1017.3
2023-12-21 14:42:21.693,17.7,31.0,1763,1017.3
2023-12-21 14:42:19.650,17.7,31.2,1761,1017.3
2023-12-21 14:42:17.607,17.7,31.2,1760,1017.3
2023-12-21 14:42:15.564,17.7,31.2,1757,1017.3
2023-12-21 14:42:13.521,17.7,31.3,1762,1017.3
2023-12-21 14:42:11.478,17.7,31.3,1763,1017.3
2023-12-21 14:42:09.435,17.7,31.2,1762,1017.3
2023-12-21 14:42:07.393,17.7,31.1,1758,1017.3
2023-12-21 14:42:05.349,17.7,31.0,1754,1017.3
2023-12-21 14:42:03.305,17.7,30.8,1756,1017.3
2023-12-21 14:42:01.262,17.7,30.6,1763,1017.3
2023-12-21 14:41:59.220,17.7,30.2,1764,1017.3
2023-12-21 14:41:57.176,17.7,30.3,1757,1017.3
2023-12-21 14:41:55.133,17.7,30.4,1762,1017.3
2023-12-21 14:41:53.090,17.7,30.3,1760,1017.3
2023-12-21 14:41:51.048,17.7,30.4,1758,1017.3
2023-12-21 14:41:49.005,17.7,30.4,1759,1017.3
2023-12-21 14:41:46.961,17.7,30.4,1759,1017.3
2023-12-21 14:41:44.918,17.7,30.3,1758,1017.2
2023-12-21 14:41:42.876,17.7,30.4,1760,1017.3
2023-12-21 14:41:40.833,17.7,30.5,1764,1017.2
2023-12-21 14:41:38.790,17.7,30.5,1764,1017.2
2023-12-21 14:41:36.747,17.7,30.5,1764,1017.3
2023-12-21 14:41:34.704,17.7,30.5,1762,1017.3
2023-12-21 14:41:32.661,17.7,30.5,1761,1017.3
2023-12-21 14:41:30.618,17.7,30.5,1759,1017.3
2023-12-21 14:41:28.575,17.7,30.5,1752,1017.3
2023-12-21 14:41:26.531,17.7,30.4,1758,1017.3
2023-12-21 14:41:24.488,17.7,30.2,1759,1017.3
2023-12-21 14:41:22.445,17.7,30.1,1763,1017.3
2023-12-21 14:41:20.402,17.7,30.1,1765,1017.2
2023-12-21 14:41:18.360,17.7,30.1,1763,1017.3
2023-12-21 14:41:16.316,17.7,30.1,1761,1017.2
2023-12-21 14:41:14.274,17.7,30.2,1760,1017.3
2023-12-21 14:41:12.230,17.7,30.2,1760,1017.3
2023-12-21 14:41:10.187,17.7,30.0,1766,1017.3
2023-12-21 14:41:08.143,17.6,29.9,1764,1017.2
2023-12-21 14:41:06.100,17.7,29.7,1762,1017.3
2023-12-21 14:41:04.057,17.7,29.9,1760,1017.3
2023-12-21 14:41:02.014,17.7,29.8,1759,1017.2
2023-12-21 14:40:59.971,17.7,29.9,1762,1017.3
2023-12-21 14:40:57.928,17.7,29.9,1766,1017.3
2023-12-21 14:40:55.885,17.7,29.9,1763,1017.3
2023-12-21 14:40:53.842,17.7,29.8,1761,1017.2
2023-12-21 14:40:51.799,17.7,29.8,1759,1017.3
2023-12-21 14:40:49.757,17.7,29.9,1763,1017.3
2023-12-21 14:40:47.713,17.7,29.9,1766,1017.2
2023-12-21 14:40:45.671,17.7,29.8,1763,1017.2
2023-12-21 14:40:43.628,17.7,29.9,1760,1017.2
2023-12-21 14:40:41.585,17.7,29.9,1760,1017.3
2023-12-21 14:40:39.542,17.7,29.9,1766,1017.2
2023-12-21 14:40:37.499,17.7,29.9,1765,1017.2
2023-12-21 14:40:35.456,17.7,30.0,1762,1017.3
2023-12-21 14:40:33.412,17.7,29.9,1760,1017.3
2023-12-21 14:40:31.368,17.7,29.9,1767,1017.2
2023-12-21 14:40:29.325,17.7,29.9,1763,1017.3
2023-12-21 14:40:27.282,17.7,29.9,1762,1017.2
2023-12-21 14:40:25.239,17.7,29.9,1761,1017.2
2023-12-21 14:40:23.195,17.7,30.0,1767,1017.2
2023-12-21 14:40:21.152,17.7,29.9,1765,1017.3
2023-12-21 14:40:19.109,17.7,30.0,1762,1017.3
2023-12-21 14:40:17.066,17.7,30.0,1760,1017.3
2023-12-21 14:40:15.023,17.7,29.9,1765,1017.3
2023-12-21 14:40:12.980,17.7,29.9,1767,1017.2
2023-12-21 14:40:10.938,17.7,29.8,1764,1017.3
2023-12-21 14:40:08.895,17.7,29.8,1761,1017.3
2023-12-21 14:40:06.852,17.7,29.7,1763,1017.2
2023-12-21 14:40:04.809,17.7,29.7,1768,1017.3
2023-12-21 14:40:02.766,17.7,29.8,1765,1017.3
2023-12-21 14:40:00.723,17.7,29.8,1761,1017.3
2023-12-21 14:39:58.680,17.7,29.8,1762,1017.2
2023-12-21 14:39:56.637,17.7,29.9,1768,1017.3
2023-12-21 14:39:54.594,17.7,29.8,1766,1017.3
2023-12-21 14:39:52.551,17.7,29.8,1763,1017.3
2023-12-21 14:39:50.508,17.7,29.8,1762,1017.3
2023-12-21 14:39:48.465,17.7,29.9,1768,1017.3
2023-12-21 14:39:46.422,17.7,29.9,1768,1017.3
2023-12-21 14:39:44.379,17.7,30.0,1766,1017.3
2023-12-21 14:39:42.337,17.7,29.9,1763,1017.3
2023-12-21 14:39:40.293,17.7,29.9,1766,1017.3
2023-12-21 14:39:38.250,17.7,29.9,1770,1017.3
2023-12-21 14:39:36.208,17.7,29.9,1766,1017.3
2023-12-21 14:39:34.164,17.7,30.0,1762,1017.3
2023-12-21 14:39:32.122,17.7,30.0,1765,1017.3
2023-12-21 14:39:30.079,17.7,29.9,1768,1017.3
2023-12-21 14:39:28.035,17.7,30.0,1764,1017.3
2023-12-21 14:39:25.993,17.7,30.0,1761,1017.3
2023-12-21 14:39:23.950,17.7,30.0,1763,1017.3
2023-12-21 14:39:21.907,17.7,30.1,1769,1017.3
2023-12-21 14:39:19.864,17.7,30.1,1764,1017.3
2023-12-21 14:39:17.821,17.8,30.2,1761,1017.3
2023-12-21 14:39:15.778,17.7,30.2,1765,1017.3
2023-12-21 14:39:13.735,17.7,30.3,1769,1017.3
2023-12-21 14:39:11.692,17.8,30.3,1765,1017.3
2023-12-21 14:39:09.648,17.7,30.3,1761,1017.3
2023-12-21 14:39:07.605,17.7,30.5,1769,1017.4
2023-12-21 14:39:05.561,17.7,30.5,1768,1017.3
2023-12-21 14:39:03.518,17.7,30.5,1764,1017.3
2023-12-21 14:39:01.474,17.7,30.5,1765,1017.4
2023-12-21 14:38:59.432,17.7,30.5,1768,1017.3
2023-12-21 14:38:57.389,17.7,30.7,1766,1017.4
2023-12-21 14:38:55.346,17.7,30.7,1762,1017.3
2023-12-21 14:38:53.302,17.7,30.7,1769,1017.3
2023-12-21 14:38:51.260,17.7,30.9,1768,1017.4
